tourney_id,match_num,winner_id,loser_id,score,minutes,winner_seed,loser_seed
2000-422,63,102358,102450,7-6(5) 6-4,118,7,15
2000-423,27,102021,101965,6-3 7-6(7),93,4,5
2000-423,29,102998,103096,3-6 6-0 6-3,132,6,8
2000-423,31,102021,102998,6-7(2) 6-3 RET,62,4,6
2000-424,30,102882,101793,4-6 6-3 6-4,57,2,5
2000-425,42,103163,102257,7-6(6) 6-3,54,9,7
2000-425,46,102839,103103,6-2 6-2,104,3,13
2000-425,52,102796,101962,6-2 6-4,51,2,8
2000-429,25,102796,102854,6-7(2) 7-5 7-6(4),61,1,8
2000-429,30,102338,103206,W/O,104,2,6
2000-433,26,103720,102701,7-6(5) 4-2 RET,67,6,3
2000-433,27,102450,102839,6-3 6-2,118,5,4
2000-433,30,102450,102610,6-3 6-3,115,5,7
2000-433,31,103720,102450,6-4 7-6(2),67,6,5
2000-438,30,102338,101820,4-6 6-2 7-5,67,2,4
2000-439,25,103264,210013,6-3 6-2,130,1,7
2000-439,30,102701,102845,6-2 7-5,124,2,4
2000-439,31,102701,103264,7-6(1) 4-6 6-3,63,2,1
2000-440,26,102158,102223,6-3 3-6 6-3,102,3,6
2000-440,28,102765,101532,7-5 6-4,65,2,8
2000-440,30,102765,102021,7-6(4) 6-2,58,2,5
2000-440,31,102158,102765,6-1 6-3,98,3,2
2000-441,36,101990,103507,6-3 6-4,28,11,6
2000-441,39,102021,102158,6-4 6-4,105,10,7
2000-441,41,102796,101962,6-3 2-6 6-3,94,1,8
2000-441,43,102358,102148,7-6(4) 6-4,75,3,12
2000-441,44,103096,102021,6-3 6-2,40,15,10
2000-441,45,102796,101990,4-6 6-4 7-6(0),67,1,11
2000-441,46,102358,103096,7-6(2) 6-1,78,3,15
2000-441,47,102796,102358,6-3 5-7 7-5,84,1,3
2000-451,25,103017,102854,6-1 6-0,64,1,8
2000-451,29,102148,103017,7-5 6-4,78,3,1
2000-481,25,103498,102035,6-4 6-4,93,1,8
2000-481,30,101723,103819,6-3 7-6(6),165,3,7
2000-495,25,103017,102259,6-3 7-6(2),136,1,8
2000-495,26,102610,101962,6-2 6-4,99,4,5
2000-495,29,103017,102610,6-2 6-0,116,1,4
2000-500,25,102338,102765,7-6(9) 6-3,75,1,7
2000-520,116,103498,101611,6-4 1-6 6-3 7-5,95,12,6
2000-520,117,102856,102839,6-3 6-4 7-6(4),182,5,11
2000-520,122,102796,103498,6-4 6-3 4-6 7-5,103,3,12
2000-520,123,102856,102338,6-3 3-6 4-6 6-4 6-2,236,5,4
2000-520,124,103507,102374,6-4 6-4 6-2,128,16,10
2000-520,126,102856,103507,7-5 4-6 2-6 6-4 6-3,76,5,16
2000-520,127,102856,102796,6-2 6-3 2-6 7-6(6),155,5,3
2000-540,119,102882,102450,6-1 5-7 6-7(9) 6-3 6-4,147,10,8
2000-540,124,101736,102882,7-6(4) 6-3 6-4,105,2,10
2000-540,126,102158,101736,7-5 4-6 7-5 4-6 6-3,138,12,2
2000-540,127,101948,102158,6-7(10) 7-6(5) 6-4 6-2,165,1,12
2000-560,114,103720,102358,6-3 6-2 6-4,110,9,7
2000-560,117,103498,103507,6-1 6-2 6-2,61,6,12
2000-560,118,103017,102796,6-2 6-7(3) 6-1 6-3,81,14,3
2000-560,123,103498,103017,7-5 4-6 7-6(5) 6-3,71,6,14
2000-560,125,101948,103720,7-6(7) 6-4 7-6(5),61,4,9
2000-560,127,103498,101948,6-4 6-3 6-3,66,6,4
2000-568,30,103103,102338,7-5 6-3,71,3,2
2000-568,31,103498,103103,2-6 6-4 6-4,58,1,3
2000-573,26,103498,102845,3-6 6-4 7-6(3),177,4,5
2000-580,113,101736,102882,6-4 7-6(4) 5-7 6-3,66,1,16
2000-580,123,102796,103017,3-6 6-3 6-1 7-6(4),60,12,4
2000-580,125,101736,101948,6-4 3-6 6-7(0) 7-6(5) 6-1,111,1,3
2000-580,126,102338,102796,6-1 6-2 6-4,122,2,12
2000-580,127,101736,102338,3-6 6-3 6-2 6-4,51,1,2
2000-620,28,103103,102106,6-2 6-1,78,2,7
2000-620,30,103103,103166,6-1 6-0,39,2,5
2000-620,31,102450,103103,6-2 6-2,93,1,2
2000-717,27,103454,101150,2-6 6-2 6-2,55,6,3
2000-807,28,102644,102839,6-4 7-6(3),50,7,2
2000-890,25,102796,102035,7-6(8) 0-6 6-2,148,1,8
2000-890,28,102854,102839,6-3 6-4,87,7,2
2000-890,29,102796,102021,6-3 6-1,81,1,3
2000-890,31,102796,102854,6-4 4-6 6-3,68,1,7
2000-96,55,102338,102882,7-6(4) 6-3,78,5,11
2000-96,60,102338,102856,6-4 7-5,75,5,2
2001-301,28,103103,102563,6-7(4) 6-3 6-2,139,2,7
2001-306,28,101320,102318,7-6(7) 6-3,111,8,2
2001-311,43,102450,101885,6-7(5) 7-6(6) 7-6(4),157,4,16
2001-311,45,102257,103166,6-2 6-2,85,12,8
2001-311,51,103720,102257,6-4 6-4,66,3,12
2001-311,52,101948,102998,7-6(1) 7-5,56,2,6
2001-311,53,102450,101965,5-7 6-4 6-2,115,4,7
2001-311,54,103720,101948,3-6 6-3 6-2,50,3,2
2001-311,55,103720,102450,7-6(3) 7-6(3),66,3,4
2001-314,27,103206,102644,6-0 6-1,77,3,6
2001-314,30,103507,103206,6-4 6-4,72,2,3
2001-316,26,102539,102287,6-2 3-6 7-6(4),77,5,3
2001-316,29,102539,102796,6-2 4-6 6-1,96,5,1
2001-317,26,101320,102231,5-7 6-4 6-4,81,6,4
2001-317,27,102854,103694,6-2 2-6 6-1,52,3,7
2001-317,30,102374,102854,7-6(4) 6-1,46,2,3
2001-319,34,102839,103292,6-2 6-2,79,6,9
2001-319,36,102318,103252,6-1 6-0,90,11,8
2001-319,37,103909,102231,6-1 6-1,86,5,10
2001-319,41,102839,103507,7-6(6) 6-2,112,6,1
2001-321,35,103292,103103,1-6 6-2 6-4,169,14,4
2001-321,38,103252,103096,7-5 6-3,82,13,3
2001-321,39,103084,102644,7-5 6-4,57,10,6
2001-321,40,102338,102610,6-4 6-4,150,2,16
2001-321,41,102856,102839,6-4 6-7(6) 6-3,115,1,9
2001-321,42,102562,103292,7-5 6-7(5) 7-5,76,12,14
2001-321,44,103084,102338,4-6 6-3 6-3,98,10,2
2001-321,45,102856,102562,4-6 7-6(5) 7-5,154,1,12
2001-321,47,102856,103084,6-3 6-2 6-4,74,1,10
2001-328,26,103819,104053,3-6 6-3 7-6(5),125,4,6
2001-328,30,102450,102845,6-1 6-4,127,2,7
2001-328,31,102450,103819,6-3 6-4 6-2,64,2,4
2001-329,41,103720,103188,6-1 6-1,103,1,15
2001-329,42,101532,103454,6-3 6-4,55,8,11
2001-329,47,103356,102694,6-3 6-2,80,5,9
2001-329,49,103720,101532,4-6 6-4 6-2,78,1,8
2001-329,52,103356,102854,6-3 6-4,136,5,2
2001-329,55,103720,103356,6-4 6-2,81,1,5
2001-336,27,102701,103206,6-2 6-3,125,8,3
2001-338,30,103720,103206,6-3 4-6 6-4,144,2,6
2001-338,31,103720,102796,6-4 6-1,106,2,1
2001-339,25,103163,103720,6-4 0-6 6-1,84,5,1
2001-339,28,102450,102563,7-6(2) 6-7(4) 6-3,103,2,7
2001-352,44,103163,102563,4-6 6-1 6-3,52,7,15
2001-352,46,103206,103163,7-5 6-4,158,6,7
2001-352,47,103206,102338,7-6(3) 6-1 6-7(5) 6-4,85,6,4
2001-357,44,103163,102450,2-6 6-3 6-4,61,15,7
2001-357,46,103163,103720,2-6 6-3 6-4,103,15,3
2001-359,28,102950,102911,6-7(4) 6-3 6-1,112,2,7
2001-359,31,102950,103428,6-4 7-6(6),111,2,3
2001-402,34,102106,102021,6-2 6-3,79,9,6
2001-402,36,101727,103248,6-4 6-7(6) 7-6(3),70,12,8
2001-402,37,102998,102607,6-0 7-5,83,5,11
2001-402,38,103163,102834,6-3 6-4,85,3,14
2001-402,40,102882,101320,6-3 7-5,117,2,16
2001-402,43,103163,102998,6-4 6-2,95,3,5
2001-402,46,102882,103163,7-6(5) 7-6(5),104,2,3
2001-402,47,102882,102106,6-3 6-7(5) 6-3,92,2,9
2001-403,65,102563,102856,6-3 4-6 6-4,58,25,1
2001-403,66,103819,102882,3-6 7-6(4) 6-2,128,24,16
2001-403,68,102158,101532,6-3 3-6 6-3,107,8,29
2001-403,69,101736,102184,6-1 6-3,54,3,30
2001-403,70,103163,103103,6-7(4) 6-0 6-3,66,23,13
2001-403,71,102845,103096,6-4 0-6 6-4,57,22,11
2001-403,73,103720,102839,6-3 6-3,73,7,28
2001-403,75,102318,103206,7-6(2) 2-6 6-0,110,21,15
2001-403,77,103292,102338,6-4 6-1,107,31,5
2001-403,79,102998,102358,7-5 6-7(7) 6-1,60,19,14
2001-403,81,103819,102563,7-6(3) 5-7 7-6(7),135,24,25
2001-403,82,102158,102374,6-4 6-3,141,8,10
2001-403,83,101736,103163,W/O,75,3,23
2001-403,87,103292,103507,6-0 3-6 6-3,65,31,12
2001-403,89,102158,103819,6-3 6-1,98,8,24
2001-403,92,102998,103292,3-6 7-5 6-4,83,19,31
2001-403,93,101736,102158,6-0 6-7(2) 6-2,54,3,8
2001-403,94,102998,103720,7-5 6-4,132,19,7
2001-403,95,101736,102998,7-6(4) 6-1 6-0,73,3,19
2001-404,51,101948,103206,6-1 7-6(7),141,3,16
2001-404,52,102158,102374,4-6 6-3 6-4,109,11,8
2001-404,58,101948,102158,4-6 7-6(4) 6-4,79,3,11
2001-404,61,101948,102338,7-5 6-4,68,3,7
2001-404,62,101736,103720,6-4 3-6 6-4,167,4,6
2001-404,63,101736,101948,7-6(5) 7-5 6-1,103,4,3
2001-408,30,103819,102338,6-2 6-7(4) 6-3,124,7,2
2001-410,57,103206,103819,6-4 6-3,70,9,15
2001-416,49,102856,102644,6-1 6-2,83,1,15
2001-416,50,102374,103720,7-6(2) 6-4,68,10,7
2001-416,57,102856,102374,6-2 6-3,74,1,10
2001-416,63,103507,102856,3-6 6-1 2-6 6-4 6-2,104,8,1
2001-418,41,101736,102950,6-2 6-2,99,1,15
2001-418,42,102257,102839,7-6(6) 6-3,81,12,7
2001-418,43,102259,103163,6-4 6-4,65,16,3
2001-418,44,102854,102998,W/O,51,10,6
2001-418,47,104053,103103,6-2 7-5,75,9,5
2001-418,49,101736,102257,3-6 7-6(6) 7-6(8),43,1,12
2001-418,50,102854,102259,4-6 6-4 6-2,26,10,16
2001-418,53,102854,101736,3-6 6-4 6-4,79,10,1
2001-418,55,104053,102854,6-2 6-3,110,9,10
2001-419,44,101964,103096,7-5 7-5,84,10,7
2001-419,47,102358,102563,6-2 5-7 6-1,108,8,9
2001-419,48,103498,103990,7-6(5) 6-1,59,2,16
2001-419,49,102856,102450,3-6 6-1 7-5,106,1,6
2001-419,52,103498,102358,7-5 6-4,139,2,8
2001-419,53,102856,101964,1-6 6-3 6-2,94,1,10
2001-419,54,102158,103498,6-3 5-7 7-6(7),66,5,2
2001-419,55,102158,102856,4-2 RET,72,5,1
2001-421,54,103507,102998,2-6 7-6(6) 6-3,64,4,16
2001-421,59,102158,103507,7-5 4-6 6-2,59,9,4
2001-422,49,102856,101964,6-2 6-1,72,1,14
2001-422,57,102856,102338,6-4 3-6 6-4,39,1,6
2001-422,61,102856,102450,6-2 1-6 7-6(4),102,1,7
2001-422,62,102158,103720,6-4 6-3,58,8,5
2001-422,63,102856,102158,6-1 6-3,131,1,8
2001-423,25,102856,103163,6-3 6-3,153,1,8
2001-423,26,101736,102998,6-2 7-5,54,3,5
2001-423,27,101948,102796,7-5 7-6(4),124,4,7
2001-423,29,101736,102856,6-7(3) 6-3 6-3,68,3,1
2001-423,31,101736,101948,6-4 6-2,66,3,4
2001-424,28,102257,103720,5-7 6-1 6-4,70,8,2
2001-424,29,101736,102998,6-4 6-4,64,1,6
2001-424,31,102257,101736,6-3 6-4,61,8,1
2001-425,44,102845,103096,7-5 6-2,70,11,5
2001-425,46,103507,102610,6-4 3-6 6-3,74,3,16
2001-425,50,102845,102374,6-3 6-1,124,11,4
2001-425,53,102845,102358,6-3 6-3,55,11,7
2001-425,55,103507,102845,4-6 7-5 6-3 3-6 7-5,70,3,11
2001-429,26,103084,101965,6-3 6-1,108,4,8
2001-429,29,102854,103084,6-4 6-2,125,6,4
2001-433,27,103720,102701,7-5 6-2,143,4,7
2001-438,25,102338,102563,6-3 7-5,155,1,5
2001-438,29,102338,103163,6-1 6-2,99,1,4
2001-439,31,102845,102259,6-4 3-6 7-6(2),121,1,5
2001-440,29,103720,103819,6-4 6-2,190,1,4
2001-441,25,102563,102358,7-5 3-6 7-6(7),74,5,9
2001-441,29,101948,102563,7-5 6-3,94,3,5
2001-441,30,103163,103096,6-3 7-6(3),70,6,4
2001-441,31,103163,101948,6-3 3-6 6-2,106,6,3
2001-468,27,102318,102644,7-6(6) 7-6(6),178,5,4
2001-475,31,103990,102287,1-6 7-5 7-6(2),112,3,2
2001-481,25,102450,102539,6-3 6-4,167,1,7
2001-481,31,102450,103714,6-3 6-4,72,1,4
2001-495,28,103507,102796,6-2 4-6 6-4,98,7,2
2001-495,30,103507,103103,5-7 7-6(4) 6-3,161,7,6
2001-495,31,103507,103498,6-2 3-1 RET,138,7,1
2001-496,28,102338,101611,7-5 6-7(5) 6-2,136,2,5
2001-496,30,102338,103819,6-7(4) 6-4 6-4,61,2,6
2001-496,31,102338,103206,7-6(5) 6-2,145,2,4
2001-500,28,102158,103819,4-6 7-6(6) 7-6(4),108,2,6
2001-500,29,102563,102338,6-3 5-7 6-2,99,7,1
2001-505,27,103292,101532,6-1 6-0,61,3,5
2001-506,29,102856,102950,4-6 6-2 6-2,56,1,5
2001-520,115,103507,102358,6-2 6-4 6-2,160,4,14
2001-520,118,101736,102644,4-6 6-2 6-4 1-6 6-0,113,3,16
2001-520,121,102856,102338,6-1 3-6 7-6(3) 6-4,128,1,7
2001-520,122,103507,103720,6-4 6-2 6-1,114,4,6
2001-520,123,103206,101736,1-6 6-1 6-1 6-3,158,10,3
2001-520,125,102856,103507,6-4 6-4 6-3,121,1,4
2001-520,126,102374,103206,7-6(2) 6-4 6-4,125,13,10
2001-520,127,102856,102374,6-7(3) 7-5 6-2 6-0,228,1,13
2001-533,28,102860,103084,7-6(5) 6-4,115,7,2
2001-533,30,101897,102860,7-6(5) 7-5,97,5,7
2001-540,98,103819,102035,7-6(4) 6-3 7-6(2),104,15,33
2001-540,100,102450,102854,5-7 6-3 6-4 6-2,63,6,26
2001-540,108,102158,102271,7-6(3) 6-4 7-5,115,3,27
2001-540,110,102765,103206,5-7 6-4 6-3 6-4,68,24,9
2001-540,113,103819,101948,7-6(7) 5-7 6-4 6-7(2) 7-5,81,15,1
2001-540,114,102450,101774,6-7(3) 7-6(5) 4-6 6-3 6-2,98,6,23
2001-540,115,103498,103096,6-0 6-3 6-2,108,4,13
2001-540,119,102765,103720,4-6 6-4 6-3 4-6 6-4,53,24,5
2001-540,120,101736,103017,6-3 7-5 7-5,80,2,19
2001-540,121,102450,103819,7-5 7-6(6) 2-6 7-6(6),122,6,15
2001-540,123,102158,102358,6-1 6-3 7-6(5),58,3,10
2001-540,124,101736,102765,6-7(3) 6-3 6-4 6-2,110,2,24
2001-540,126,102158,101736,2-6 6-3 3-6 6-2 8-6,48,3,2
2001-560,99,103096,102845,6-7(3) 6-4 6-4 6-0,120,12,17
2001-560,101,103720,102287,6-1 6-3 6-4,120,4,25
2001-560,103,104053,102374,6-4 6-2 6-2,111,18,11
2001-560,108,103498,102271,7-5 6-4 7-6(5),102,3,28
2001-560,109,102158,102839,7-6(3) 6-2 6-2,72,6,26
2001-560,111,103819,102854,6-4 7-5 7-6(3),58,13,24
2001-560,114,102338,103096,6-3 6-4 6-3,64,7,12
2001-560,115,103720,103163,3-6 7-6(2) 6-4 6-2,77,4,16
2001-560,118,103498,102563,6-2 2-6 6-4 7-6(3),84,3,14
2001-560,119,101948,102158,6-3 6-2 6-7(5) 6-4,91,10,6
2001-560,120,101736,103819,6-1 6-2 6-4,55,2,13
2001-560,121,102338,102856,6-4 6-0 6-3,58,7,1
2001-560,122,103720,104053,6-7(5) 6-3 6-4 3-6 6-4,106,4,18
2001-560,124,101948,101736,6-7(7) 7-6(2) 7-6(2) 7-6(5),69,10,2
2001-560,125,103720,102338,6-1 6-2 6-1,79,4,7
2001-560,126,101948,103498,6-3 7-6(5) 6-3,66,10,3
2001-560,127,103720,101948,7-6(4) 6-1 6-1,73,4,10
2001-568,27,103498,101964,6-3 7-6(0),137,3,5
2001-568,28,102338,102148,6-1 6-4,72,2,6
2001-568,30,103498,102338,6-7(4) 6-2 6-4,106,3,2
2001-573,27,102845,103017,6-4 6-2,63,3,6
2001-580,115,103206,102796,7-6(7) 6-3 0-6 6-4,51,16,5
2001-580,119,102158,102450,6-2 6-3 6-3,116,12,8
2001-580,120,103103,103498,6-2 7-6(6) 6-4,85,14,2
2001-580,121,103096,102338,6-4 5-7 7-6(3) 7-6(3),124,15,4
2001-580,124,102158,103103,6-2 6-7(4) 7-5 6-0,65,12,14
2001-580,125,103096,103206,5-7 2-6 7-6(4) 7-5 6-2,73,15,16
2001-580,126,101736,102158,7-5 2-6 6-7(5) 6-2 6-3,127,6,12
2001-580,127,101736,103096,6-4 6-2 6-2,73,6,15
2001-717,27,103420,103694,6-4 6-2,118,4,6
2001-717,28,102703,102776,6-4 2-6 6-2,80,8,2
2001-717,30,102703,103420,4-6 6-2 6-1,77,8,4
2001-73,30,102338,103103,6-7(6) 6-2 7-6(8),108,2,3
2001-73,31,103498,102338,6-2 6-2,61,1,2
2001-741,28,103248,101965,6-2 6-4,61,7,2
2001-741,31,102563,103248,7-5 6-3,80,3,7
2001-890,30,102783,101532,6-4 1-6 6-3,154,2,4
2001-890,31,102783,103356,6-3 6-4,51,2,3
2002-1536,36,102562,102845,6-7(2) 6-4 7-5,49,11,8
2002-1536,44,101736,103507,6-3 6-2,85,2,5
2002-1536,46,101736,103206,6-4 3-6 6-4,106,2,7
2002-1536,47,101736,102562,W/O,91,2,11
2002-301,28,102257,101964,6-2 0-6 6-3,126,6,2
2002-301,30,102257,102562,6-7(6) 6-4 7-6(2),73,6,5
2002-311,41,103720,103694,6-2 6-1,122,1,14
2002-311,42,101774,103598,7-5 6-3,127,9,8
2002-311,44,102854,102998,7-6(4) 1-6 6-4,107,5,12
2002-311,49,103720,101774,7-6(4) 7-5,78,1,9
2002-311,53,103720,102854,7-6(5) 6-3,98,1,5
2002-311,55,103720,102450,4-6 6-1 6-4,98,1,2
2002-314,31,102374,103292,6-3 7-6(3) 7-6(3),63,8,7
2002-315,29,103484,103566,6-4 3-6 7-5,95,1,7
2002-316,30,101962,103990,6-2 6-2,105,2,4
2002-316,31,102845,101962,6-3 2-6 7-5,121,3,2
2002-317,26,103292,103813,6-1 6-2,151,3,5
2002-317,29,102610,103292,6-4 6-7(1) 6-3,80,1,3
2002-317,31,103428,102610,6-1 7-6(4),110,2,1
2002-319,36,103292,102905,3-6 6-1 6-0,150,6,11
2002-319,37,103151,102839,6-4 6-2,62,12,5
2002-319,41,102374,102610,6-1 6-2,73,8,1
2002-319,43,103151,102318,6-4 5-7 6-2,163,12,4
2002-319,44,103507,103428,7-5 6-7(5) 6-4,82,2,10
2002-319,45,102374,103292,6-3 6-1,74,8,6
2002-319,46,103507,103151,6-7(2) 7-5 6-3,74,2,12
2002-319,47,102374,103507,6-4 6-1 6-3,106,8,2
2002-321,25,102562,103990,6-4 6-2,69,1,8
2002-321,29,103084,102562,6-4 6-0,113,3,1
2002-325,25,102701,103176,7-5 4-6 7-6(7),75,1,6
2002-325,28,103602,103252,6-2 7-5,103,2,7
2002-325,29,104076,102701,6-4 6-4,53,3,1
2002-325,31,103602,104076,5-7 6-3 6-1,94,2,3
2002-328,25,103900,102450,3-6 7-6(5) 6-2,73,6,1
2002-328,26,103819,104053,7-6(5) 6-1,99,3,5
